company_name,exp_req,job_desc,job_title,keyskills,links_detail,location,posted_by,posted_on,salary

Sun Life India Service Centre Pvt. Ltd.,4-7 Yrs,N/A,Senior Analyst - Data Analytics (Tableau & Sas Visual Analytics),"Data Mining, Sas Enterprise Guide, Data Analytics, Business Intelligence",https://www.naukri.com/job-listings-Senior-Analyst-Data-Analytics-tableau-SAS-Visual-Analytics-Sun-Life-India-Service-Centre-Pvt-Ltd-Gurgaon-4-to-7-years-210918008881?src=jobsearchDesk&sid=15376475157970&xp=1&px=1,Gurgaon,N/A,2 days ago,"5,50,000 - 8,50,000 P.A."

Clarity Consulting,4-8 Yrs,"Must Have Experience : Sas,Ssis,Vba Tools,Tableau,R,Python,",Senior Data Analytics,"Tableau, R, Data Analytics, Sas, Vba",https://www.naukri.com/job-listings-Senior-Data-Analytics-CLARITY-CONSULTING-Gurgaon-Sector-24-Gurgaon-4-to-8-years-080918000358?src=jobsearchDesk&sid=15376475157970&xp=2&px=1,Gurgaon(Sector-24 Gurgaon),Gargi Verma,2 days ago,"7,00,000 - 13,00,000 P.A."

Live Connections,2-6 Yrs,N/A,Immediate Job Opening For Data Analytics @ Mnc,"Data Analytics, Sql, R, Python, Machine Learning",https://www.naukri.com/job-listings-Immediate-Opening-for-Data-Analytics-MNC-Live-connections-Bengaluru-Hyderabad-Mumbai-Delhi-NCR-2-to-6-years-210918007989?src=jobsearchDesk&sid=15376475157970&xp=3&px=1,"Bengaluru, Hyderabad, Mumbai, Delhi NCR",N/A,2 days ago,"1,25,000 - 6,25,000 P.A."

Destination Hr,10-20 Yrs,N/A,Vice President (V) - Data Analytics,"Data Analytics, Data Modeling, Data Mining, Data Extraction, Senior Analyst",https://www.naukri.com/job-listings-Vice-President-V-Data-Analytics-Destination-HR-Mumbai-Delhi-NCR-Bengaluru-10-to-20-years-200918000679?src=jobsearchDesk&sid=15376475157970&xp=4&px=1,"Mumbai, Delhi NCR, Bengaluru",Veer Raghuwanshi,3 days ago,Not Disclosed

Taazaa Inc.,3-5 Yrs,"Manage End To End Analytics Projects Including Business Requirement Analysis, Define Scope, Solution","Python Developer-Big Data Analytics, Taazaa Inc., Sector 63, Noida","Python Developer, Big Data, Analytics, Hadoop, Sql, Excel, R, Json, Spss",https://www.naukri.com/job-listings-Python-Developer-big-Data-Analytics-Taazaa-Inc-Sector-63-Noida-Taazaa-Inc-Delhi-Noida-3-to-5-years-190918008688?src=jobsearchDesk&sid=15376475157970&xp=5&px=1,"Delhi, Noida",N/A,4 days ago,Not Disclosed

Yoda Learning Solutions,3-7 Yrs,Should Be Capable To Deliver Training Modules To Both L1 & L2 Type Of Audiences. ;Should Have A Good,Data Analytics Trainer For Corporate Training Institute,"Alteryx, Corporate Training, Data Analytics, Business Intelligence",https://www.naukri.com/job-listings-Data-Analytics-Trainer-for-Corporate-Training-Institute-Yoda-Learning-Solutions-Delhi-NCR-3-to-7-years-190918007875?src=jobsearchDesk&sid=15376475157970&xp=6&px=1,Delhi NCR,Rishabh Bhandari,4 days ago,"6,00,000 - 10,00,000 P.A."

